Entry Name,Entry Type,SID,Item Group Name,Attribute 1 Name,Attribute 1 Option,Attribute 2 Name,Attribute 2 Option,Attribute 3 Name,Attribute 3 Option,Quantity,Unit,Min Level,Price,Value,Notes,Tags,Primary Folder,Subfolder-level1,Subfolder-level2,Subfolder-level3,Subfolder-level4,Photo1,Photo2,Photo3,Photo4,Photo5,Photo6,Photo7,Photo8,Web Link,Web Link
2011 VW Jetta AKL Keyed SVG149 + VVDI2,Item,S0FDOT6716,,,,,,,,1.0,units,,,0.0,"2011 VW Jetta - AKL
Keyed ignition. Flip NCA made.
i3004. 
Done by service mode. 
Cable SVG149. 
Relatively simple job.

Remove cluster 
Open cluster casing 
Cable SVG149 
Connect it to blue connector 
VVDI2 OBD to SVG149
Touch pogo pin point
(See image)
Turn on cluster 
(Use switch on SVG149)
Cluster must be silent 
Only “brake” light on 

If not silent - turn cluster off, retouch with pogo pin, turn cluster on. 
 
Now RELEASE the pogo pin

Key learn 
4th Immo 
Cluster with 24C32 
(Not Micronas) 
Read Immo data
Method 2
“Switch on...” ok
(Cluster completely dark)
Read it in a sec
Save Immo data. 
Flip NCA in VVDI 
Make dealer key 
Method 2
Prepare OEM key..
YES
Ok
Key made ok and locked 
(We made 1 super chip too) 
Reinstall cluster.
Car will start. 
Remote separately with IM. 
Done",,Data base,Audi Volkswagen,,,,https://lnk.sortly.co/v2/downloads/photo/v2_lLCuHGjyUZhzTOgVm_qA0U6YXaRtH3OZQPtaMhX78jPFbAmjqYifcA==,https://lnk.sortly.co/v2/downloads/photo/v2_UM9IsT_mtJ5f_Gr9M2HXN1Q3zecQa6j6NX_18Kq0swLPSX2lPL-SUA==,https://lnk.sortly.co/v2/downloads/photo/v2_oGXvy3AECm8iSMPeIrMIuwUxC_l9YiCUGBNijEaHTRSAUwAKedwQug==,,,,,,,
2011 VW Passat AKL,Item,S0FDOT5803,,,,,,,,1.0,units,,,0.0,"2011 VW Passat - AKL. 
WAS Slot key. 
Megamos 48. (There’s also ID46).
OEM slot key from Idan. 
Vag helper falied. 

Remote programs separately 
See steps for remote below after chip was programmed. 

Note: if key gets stuck in slot - don’t panic. Press the button on the stick shift till you hear a click - that’ll release it. 

IM100+Force IGN ON+XP400
WiFi connected 
Force the ignition to ON
VW
Smart mode 
Car info shown, Yes
48 key 
Ok, Escape 
All keys lost 
Warning...continue? Yes

If asked: 
Ign OFF then ON by force tool

Reading Immo data..2-3 minutes
VIN, PIN, CS, ECU info shown, ok

Read PowerClass (1-2 minutes)
(Count X/2100) was 80..
Operation success, ok 
Modify Immo data (30 sec)
Operation success shown 
Key in XP400
Record new PIN and CS, ok 

Wait for message: pls put key in programmer.. if key in, press ok

Success..make next key? 
Insert 2nd key, Yes
Wait to insert amount of keys 
Insert amount of keys, ok
Put key quickly in slot 
Testing vehicle status (4-6 min)

During the wait turn ignition OFF for 10 seconds, the ON. Using FORCE TOOL

You’ll be asked to remove key (ign OFF) and reinsert (ign ON)
Ok

Are the number of keys....same? 
Observe (1-1 for one key)
Yes
Key learning completed, ok
Operation success, ok
Don’t get exited yet
Close this window on IM100
Turn FORCE TOLL off
Disconnect IM100 from OBD

You can now test start - this was manual gear so foot on clutch and brake, gear in neutral, push in the slot key. 
Done 

You can also finish learning with VVDI2 
was not needed here

No need to wait 10 minutes for Immo if using VVDI for learning 

Key learn
4th Immo - Passat/CC

Insert 7CS and PIN given by IM100.

Select amount of keys to learn 
Key learning 
Wait about 3-5 minutes. 
Follow prompts. 

You may need to try and start a few times. 

Remote learning:
Ignition on with working key 
IM100 
VW
Smart mode 
Car info shown, Yes
48 key 
Ok, Escape 
Remote control add 
Remove remote from IGN
Press any button on it
Done",,Data base,Audi Volkswagen,,,,,,,,,,,,,
2011 VW Tiguan - Add key Keyed,Item,S0FDOT7155,,,,,,,,1.0,units,,,0.0,"2011 VW Tiguan - Add key Keyed
Cust had regular key 
We added flip.
Clone cust key to super chip 
Place it in the new flip 
Program the flip with IM100",,Data base,Audi Volkswagen,,,,,,,,,,,,,
"2011 VW Tiguan - Keyed AKL (OLD, VAG HELPER)",Item,S0FDOT4325,,,,,,,,1.0,units,,,0.0,"2011 VW Tiguan - flip key. keyed ignition. AKL.
try vag helper first. 

If not giving info (it doesn’t for some micronas clusters) - back up abs coding and then remove cluster 

Eeprom clip read 24C64 with VVDI Prog 

Go to VVDI2
VW
Select cluster with 24C64
Service mode 

Follow steps to load eeprom, 
Get a dump
Write it back on the 8 leg
Put cluster back 

Proceed with steps it should now let you read Immo data via diag section

Restore ABS coding 
 
When finished do ‘reset instrument‘.

2011 VW Tiguan - flip key. NCA. keyed ignition. AKL.
try vag helper first. (Worked for me with Vag helper). 
Ign ON
Read & save immo data 
VVDI2
VW
Key learn key learn 
Immo data prepare key 
Load immo data read by VH
1st default option, next 
Key in VV2
Prepare normal dealer key
You sure? Yes
Key make ok and locked 
Please...ok
Ignition ON
Learn 
Get info from immo data 
Load immo data file 
1st default option, next 
Car has keyless? No 
Observe 1-1, ok
Done. 

Remote IM100
VW
Manual 
USA
Passat 
10-12
1.4L
Info shown, yes
Immo status scan 
Immo adaptation 
Remote control system, ok
Remote control add 
Set amount, ok
Press any button 
Observe 1-1, ok 
Done 


If VH not giving info (it doesn’t for some micronas clusters) - back up abs coding and then remove cluster 

Eeprom clip read 24C64 with VVDI Prog 

Go to VVDI2
VW
Select cluster with 24C64
Service mode 

Follow steps to load eeprom, 
Get a dump
Write it back on the 8 leg
Put cluster back 

Proceed with steps it should now let you read Immo data via diag section

Restore ABS coding 
 
When finished do ‘reset instrument‘.",,Data base,Audi Volkswagen,,,,,,,,,,,,,
2011-2012 VW Tiguan AKL Keyed,Item,S0FDOT9501,,,,,,,,1.0,units,,,0.0,"2011 2012 VW Tiguan - AKL Keyed Service mode
Made flip key 
Remove Cluster 
Identify pogo point 
SVG149 to blue connector 
VVDI2 OBD to SVG149
Touch pogo pin point
Turn on cluster 
(Use switch on SVG149)
Release 
Cluster must be silent 

If not silent - turn cluster off, retouch with pogo pin, turn cluster on. 
 
Ensure only brake light on 
(Right signal was on too)
VVDI2 
VW
Key learn 
4th immo
24C64 
Read Immo data
Metoth 2 
“Switch on...” ok
(Cluster completely dark)
reads in seconds 
Message comes on, OK
Ok, save Immo data. 
ID48 in VVDI 
Make dealer key 
Metoth 2 
Prepare OEM key..
Next , yes

“Input VVDI super transponder...”
(ID48 is ok) 
Ok
Key made ok and locked 
“Use reset instrument”

NO FURTHER ACTION IS NEEDED
Reinstall and start the car.",,Data base,Audi Volkswagen,,,,https://lnk.sortly.co/v2/downloads/photo/v2_CgKpEF8dGvCzV_7LE5__-O-tov7jGVPvzn2sGFl_-vvnPK7NV6p70w==,https://lnk.sortly.co/v2/downloads/photo/v2_vTV1aiiZwPOlhdGYrCDEBREQA4ndYwar2N0VI2j482SNPw_VbGWFKA==,,,,,,,,
"2011-2017 Audi A4, A5, Q5",Item,S0FDOT3785,,,,,,,,1.0,units,,,0.0,"2011-2017 Audi A4, A5, Q5 - AKL via OBD. BCM2.",,Data base,Audi Volkswagen,,,,,,,,,,,,,
"2011-2017 Audi A6, A7, ,S7 A8",Item,S0FDOT3786,,,,,,,,1.0,units,,,0.0,"2011-2017 Audi A6, A7, ,S7 A8 - AKL requires info reading from ELV, an excruciating job.",,Data base,Audi Volkswagen,,,,,,,,,,,,,
2012 Audi A4 - AKL P2S PTS,Item,S0FDOT7146,,,,,,,,1.0,units,,,0.0,"2012 Audi A4 - AKL P2S PTS
Made CA key
VV2
Key learn 
5th Immo 
Press brake & head light continuously
 
Read BCM data (OBDII)
Disconnect 4 standard wires in BCM2 module (For 3 seconds is enough).
Connect them back. 
Get back to car 
Hit Read BCM2 Data again. 
Follow prompts such headlight on + brake. 
Save Immo data file. 

Insert fob in VV2 (silver up)
Make dealer key 
Prepare normal dealer key (leave the one selected)> Next 
""A4L"" (leave the one selected) > Next 
Load immo data file 
Wait 1-2 minutes. 
“Dealer key make successful”. 

Insert fob in slot (silver out). 
Select amount of keys to learn. 
Press key learning. 
Load BCM2 Immo data file. 
Press brake + headlight on
Follow prompts & basically press ok to exit programming mode. 
Start the car.

(Pictures below)",,Data base,Audi Volkswagen,,,,,,,,,,,,,
2012 Audi A4 - AKL. Should be OBD VVDI,Item,S0FDOT3769,,,,,,,,1.0,units,,,0.0,2012 Audi A4 - AKL. Should be OBD VVDI. May have to disconnect module in the trunk for a minute during programming.,,Data base,Audi Volkswagen,,,,,,,,,,,,,
2012 Audi A4 - Add a key.,Item,S0FDOT4003,,,,,,,,1.0,units,,,0.0,"2012 Audi A4 - Add a key. Cust had comfort access. I added NCA. 
OBD. - DONT HAVE TO DISCONNECT BCM. 

VVDI2 
Audi 
Key learn 
5th Immo 
Read BCM2 data via OBD 
Follow pro prompts

When asked to disconnect BCM press ok - you don’t need to do it when you have a working key. 

Save Immo data file. 
Make dealer key. 
Key learning.",,Data base,Audi Volkswagen,,,,,,,,,,,,,
2012 Audi A4 Slot Key,Item,S0FDOT8433,,,,,,,,1.0,units,,,0.0,"2012 Audi A4 - Slot key stopped working. (Literally got deleted from the system somehow). 

Simply make new slot key.
IM100 + force tool + disconnect & reconnect BCM. 5 minute job.",,Data base,Audi Volkswagen,,,,https://lnk.sortly.co/v2/downloads/photo/v2_1uVqzLG_bBtzrZgCv1z-BDbykIBiFIO_wIx3J1sbR_uCIZA0jh1fJQ==,,,,,,,,,
2012 Audi A5 - BCM location is in trunk right side.,Item,S0FDOT3816,,,,,,,,1.0,units,,,0.0,"2012 Audi A5 - BCM location is in trunk right side.
BCM location is usually in trunk right side.",,Data base,Audi Volkswagen,,,,,,,,,,,,,
2012 Audi A5 - BCM2 location trunk right side.,Item,S0FDOT3817,,,,,,,,1.0,units,,,0.0,2012 Audi A5 - BCM2 location trunk right side.,,Data base,Audi Volkswagen,,,,https://lnk.sortly.co/v2/downloads/photo/v2_5cDo-0VSNGmMI0U6D-q5qFmRm9ddxQM371qH042sGh28wige_KB1Ug==,https://lnk.sortly.co/v2/downloads/photo/v2_ho9EaT3EOOMSR2wYAecxl9EssPbwqIV8pN_rcPOB2Io1j3Q4KbiX2Q==,,,,,,,,
2012 Audi A6 - Add a key.,Item,S0FDOT4116,,,,,,,,1.0,units,,,0.0,"2012 Audi A6 - Add a key. IM100. 4 minutes.
CA. Fob like A4’s.",,Data base,Audi Volkswagen,,,,,,,,,,,,,
2012 Audi A7 - Learning slot note,Item,S0FDOT3419,,,,,,,,1.0,units,,,0.0,"Learning slot didn’t exist, key held by radio.",,Data base,Audi Volkswagen,,,,,,,,,,,,,
2012 Audi A8L - AKL,Item,S0FDOT3429,,,,,,,,1.0,units,,,0.0,"BCM2. CA fob made. 
Must use 3rd party. 
Failed via OBD 
Required:
1. Removal of BCM2 and EEPROM reading 
2. $330 calculation cost 
Hani / Elias.
Worth checking Jack.",,Data base,Audi Volkswagen,,,,https://lnk.sortly.co/v2/downloads/photo/v2_mud5FcNz287Y8nyluPDfikMjlGm7EFbnP9bqRNEOwVL2d1Q0zpn85g==,,,,,,,,,
2012 Audi Q5 - AKL. Slot key. Obd,Item,S0FDOT4722,,,,,,,,1.0,units,,,0.0,"2012 Audi Q5 - AKL. Slot key. Obd 
WiFi 
Force ignition on 
VAG Helper. 
Read car information 
Save Immo data file 
VVDI2
5th immobilizer
Step 3 - make dealer key 
Select Q5 (first option)
Load Immo data read by VH.
Insert key in VVDI 
Wait for pre-coding to end. 

No need force ign ON anymore 

Select amount of keys
Key learning (bottom right) 
Load again Immo data 
Follow prompts
Press ok 
Follow prompts 
Press ok. 
Done.",,Data base,Audi Volkswagen,,,,,,,,,,,,,
2012 Audi Q5 - Add a key P2s PTS CA,Item,S0FDOT7471,,,,,,,,1.0,units,,,0.0,"2012 Audi Q5 - Add a key P2s PTS CA
Made CA key (60cp)
No BCM disconnect required. 

VVDI2.
Audi 
Key learn 
5th immobilizer system 
Read BCM2 data OBD
Follow ign ON request 
Save IMMO DATA file 
Key VVDI2 
Make dealer key 
First default method, next 
Load BCM data.
Dealer key make success. 
Set amount of key to learn (2)

Put the working key in slot first to be learned

Key learning 
Load the BCM data file again. 

Observe 1/2, 2/2 on the dash as you remove the first key and insert the second. 
Press ok to complete procedure 
Done",,Data base,Audi Volkswagen,,,,,,,,,,,,,
"2012 Audi Q7 - Add a key, keyed",Item,S0FDOT6818,,,,,,,,1.0,units,,,0.0,"2012 Audi Q7 - Add a key, keyed
Add flip key
Chip 8E. Keyed. 
Electronic ignition. 
Chip & remote program together.
VVDI2 OBD job",,Data base,Audi Volkswagen,,,,,,,,,,,,,
2012 Audi S4 - AKL,Item,S0FDOT3288,,,,,,,,1.0,units,,,0.0,"BCM2. VVDI.
NCA key made. 
Required disconnecting BCM2 in trunk right side. 
See 2010 A4 it’s same job.",,Data base,Audi Volkswagen,,,,,,,,,,,,,
2012 VW Beetle AKL Keyed,Item,S0FDOT9144,,,,,,,,1.0,units,,,0.0,"2012 VW Beetle - AKL
keyed ignition. OBD job!
VVDI2. HU66, ID48 chip.
We made x1 flip key P3004.

VW
Key learn
4th immo 
Instrument with Motorola 
Read EEPROM & save!
Read immo data & save 
Make dealer key 
Prepare OEM key
Select slot 1
(Flip in VVDI2)
No need super chip 
5 seconds 
Key made ok and locked 

Add additional keys the same way. 

Remote: 
Ign on
Key learn 
Remote key adaptation 
BCM remote 
Learn remote control 
Start 
Press unlock in remote 
Signal lights flash on dash
Ok
Done",,Data base,Audi Volkswagen,,,,,,,,,,,,,
2012 VW Beetle AKL P2S,Item,S0FDOT9058,,,,,,,,1.0,units,,,0.0,"2012 VW Beetle AKL P2S 
OBD JOB!!
Force ignition tool + VVDI2
Regular 11-16 VW Prox flip key. (i3008 $45cp) 

Ignition ON
Key learn 
4th immo 
Instrument Magnetic NEC+95320
Read immo data 
Save file 
Make dealer key 
Last option prepare oem key (first make an ID48 to secure you have a working chip)
Key # 1
ID48 in vvdi2
Key make ok and locked 
Peps flip key in vvdi2
Make dealer key 
Prepare normal dealer key 
Key make okay and locked

Add key
Get pin/cs from immo data (3rd option)
Load immo data 
2 keys Next 
Flip Key in coil first and ID48 second> follow steps

After done can go to tranponder programmer and unlock ID48 or sell it as spare back up key.",,Data base,Audi Volkswagen,,,,,,,,,,,,,
2012 VW Beetle Add a key via obd - Flip key.,Item,S0FDOT3887,,,,,,,,1.0,units,,,0.0,"2012 VW Beetle Add a key via obd - Flip key. Cluster type is 
Motorola 9S12XHZ512.",,Data base,Audi Volkswagen,,,,,,,,,,,,,
2012 VW CC Passat - AKL P2S Slot key,Item,S0FDOT7793,,,,,,,,1.0,units,,,0.0,"2012 VW CC Passat - AKL 
Slot key EEPROM 
8 leg ST95320 in the circuit.
VVDIProg 
VVDI2 
Super chip 
Kessey behind glove box 

VVDI Prog 
EEPROM 
ST CLIP
M95320(clip)
Read verify & save 

VVDI2
Transponder programmer 
Immo data tool
Euro 
VW
Passat 
95320 Comfort ID48
Load eeprom (5-10 seconds)
Write super chip on USED slot
(I wrote here on slot #2) 
Reinstall module 
Start the car 
(Brake+insert key+hold it in)
Program remote OBD with IM100",,Data base,Audi Volkswagen,,,,https://lnk.sortly.co/v2/downloads/photo/v2_xkQRkcI7E9wMouhhSvYuHrBg3WngcIjIt5huB_MApWx-KDUer-O68g==,https://lnk.sortly.co/v2/downloads/photo/v2_tC_BefQ_oNLH7fjZ7xWiTQpWBF9QlODbX7PZR7puAGVgiYClckWd0Q==,https://lnk.sortly.co/v2/downloads/photo/v2_YJuC74VyyHGbR1vndWgzyI07MNDJvzETED5U4J0eMu8J_DfrIkecNA==,https://lnk.sortly.co/v2/downloads/photo/v2_7zvOVAqi7jZHqcL-_IGQiCsu3AMjYPaHI3Pu_RgDxMdG92XFdbi77Q==,https://lnk.sortly.co/v2/downloads/photo/v2_6HD-Lnj7vEYWpD_1ZdvLfMnwenH62uaE2AEL3IOwuuZ-jFv2_OfXOA==,https://lnk.sortly.co/v2/downloads/photo/v2_nuW6L5lNa-4FgiLH79xPLLtu0jxAQXEpFZSB-LbbZ2hCiDD-IwiCHw==,https://lnk.sortly.co/v2/downloads/photo/v2_2C-QZMXuBaHuGS0mIOqJv-rnedkjBXyXlzT5zQRkyYgChilRpZg3qw==,https://lnk.sortly.co/v2/downloads/photo/v2_B7LZRwD_EdTS3siha0r2xSDqOwKwZOsgOM0ZEVHb4CeonDNGYZ_lTQ==,,
2012 VW EOS P2S AKL,Item,S0FDOT10583,,,,,,,,1.0,units,,,0.0,"2012 VW EOS P2S AKL 
Service mode job
SVG149 vvdi2 force ignition ON

Connect vvdi2 force ignition ON and do Back up coding 
Diagnostics 
Diagnostics unit 
03 ABS 
Picture of screen / long code

Key learn
Cluster with NEC+24C64 
Method 2 (reads in seconds)
Save Immo data. 
Flip CA in VVDI 
Make dealer key 
Method 2
Prepare normal key..
Next , yes
Ok
Key made ok and locked 
“Use reset instrument”...ok

Reinstall cluster back. 
Force ignition ON 

Add key 
3rd option with Immo data 
Load immo data 
Next 
Key by coil (see image)
(Learning slot was a little apart on this car but it was fine) 
Car has keyless? Yes
Ok
Done
Test key & remote 
Repeat learning procedure if Prox ain’t working perfectly.",,Data base,Audi Volkswagen,,,,https://lnk.sortly.co/v2/downloads/photo/v2_-aof4jRMSFbyRKjfFA0aOKMHWEcwob3ms2BPJSaapKpfzP4TTuIBzg==,https://lnk.sortly.co/v2/downloads/photo/v2_Fmv8de8wftzRCHe_wmjnXgg7CDnEEP07be3nc_jKTxaodiiVJCDorA==,https://lnk.sortly.co/v2/downloads/photo/v2_UfpH-KWCJrpjj1JyQttMmxI1tlaLhtPKEDyUreOuUV6a1Jdm5XJvHw==,https://lnk.sortly.co/v2/downloads/photo/v2_SZJLmxU3wi_patv-HdeM-yTO7mxeek_8FFWuycn2DsBccK3Dq12ySQ==,https://lnk.sortly.co/v2/downloads/photo/v2_lC01uG0_7FhtBhTz4wNtTGbZrjU5t0CPWUnujMo0uLlD43pn7ZYVSA==,https://lnk.sortly.co/v2/downloads/photo/v2_EXoZId2XhN8F18-NtozhRjDHxU-JbO3ntoWps--UAonUEFAyz164Dg==,,,,
2012 VW GTI AKL Keyed Service Mode SVG149,Item,S0FDOT9381,,,,,,,,1.0,units,,,0.0,"2012 VW GTI AKL Keyed 
SVG149 cable + VVDI2 Service Mode.
HU66 lishi and test. 

VVDI2
Key learn
4th immo system VW
24C64 
Guide tech to touch pogo pin.
(See image)
Turn on cluster using svg149 
Cluster must be silent.
Ensure only break light on.
Read immo data 
Method 2 (reads in seconds)
""Switch on"" OK
Save file 

Chip id48/flip key in vvdi2
Make dealer key. Method 2
Make OEM key (3rd option)
Select slot #1 >YES>Ok 
""Key make okay and locked""
Done at this point.

For a 2nd key put it in vvdi2 and repeat procedure just in this case need to select slot #2 
""Key make okay and locked""
Reset instrument
Good to reinstall cluster and start.

Remote programmed with im100. I3004",,Data base,Audi Volkswagen,,,,https://lnk.sortly.co/v2/downloads/photo/v2_arm7yQlU3A0yShtqOcfTXlkX73NRRw82SGRZEduCxU7HNILdtGV-8A==,https://lnk.sortly.co/v2/downloads/photo/v2_9M4lonoVPoK_m7RBJgMHsrOAEKPTRTC8oUVf8RgtAJcg9hcj1UCANg==,https://lnk.sortly.co/v2/downloads/photo/v2_MOZvg8DcyUs3SLFrDRxf_mCkobEUS4OIjr4qYCtOMY4YuOsIAjsBUQ==,,,,,,,
2012 VW GTI AKL PTS,Item,S0FDOT5490,,,,,,,,1.0,units,,,0.0,"2012 VW GTI - AKL. PTS. Remote programs with chip. 
Push button was on column. 
Lishi door lock for blade. 

Connect force ignition tool. 
Put car ON 
Vag helper 
Connect to WiFi
Read Immo data 
(2-3 minutes)
Save 
(keep force tool on)
VVDI2
Key learn key learn 
Immo data prepare key 

Ok, load Immo data file 
1st option (default), next 

Select VW
insert key to VVDI
NEXT 
Brand correct? YES
‘Key made ok and locked’, ok
Ok
Insert amount of desired keys 
‘Learn’ 
Get CS & PIN from Immo data 
Load Immo data on right side
Choose NEC first option 
Load file success , ok
Next
asks if Keyless, yes
Key by PTS button
Ok
Success. 
Done.",,Data base,Audi Volkswagen,,,,,,,,,,,,,
2012 VW Golf - Add a key. Flip key. (Old from 2019),Item,S0FDOT4012,,,,,,,,1.0,units,,,0.0,"2012 VW Golf - Add a key. Flip key. 

VVDI2 
VW 
(Won’t auto detect so select cluster manually) => 

Key learn 
4th immo 
Instrument with 24C64
Read Immo data & save 
Read EEPROM & save 
Ignition ON with working key 
Make dealer key 
VW-prepare normal dealer key 
YES
Key make ok and locked 

Choose add key method => select 3rd method to add key by Immo data file 

Load Immo data",,Data base,Audi Volkswagen,,,,https://lnk.sortly.co/v2/downloads/photo/v2_6dvVBkAQ8gqXx6TBII4GFb6TzE8ZRJFCf7-wg7T1U2EOAShvsOZ2kw==,https://lnk.sortly.co/v2/downloads/photo/v2_W4PsostTusPQYj-0jQA-yVaZX4xwZ40LwHvNO6OlOl_iwujh112Uvw==,https://lnk.sortly.co/v2/downloads/photo/v2_ZE4hdxuGZnlA5kREKsKLoRgDjf73ENTybOYa0GFUqjpbXZuYsHRjjg==,https://lnk.sortly.co/v2/downloads/photo/v2_DCSw_doQ8Z_I-adCIrbAhdxPm7nBceOyymcrh1eyqFXjcSDeUSPFNw==,https://lnk.sortly.co/v2/downloads/photo/v2_ErAS2b38Bdly0r_oOPiWa1UoCSjdLMdMhYJnI5zRlAWJdkn7Ws-QFw==,,,,,
2012 VW Golf - Add a key. Flip key. 2,Item,S0FDOT4013,,,,,,,,1.0,units,,,0.0,"Have all keys near you ready as next step requires exchanging them fast. 

Select total amount of keys including customer’s key 

Proceed to put each key ON for 2 seconds quickly 1 after the other. 

Observe the dash count 1-3,2-3 3-3 Keys learned 

Press OK when completed. 
Wait for learning to finalize. 

Remote via Pro Pad: 
VW
Remote 
1st option CANBUS 
Type 1
Press random button on each remote. 

If key ON remove it before checking your remotes.",,Data base,Audi Volkswagen,,,,https://lnk.sortly.co/v2/downloads/photo/v2_P2x579O7nW9dvRAcsyPh4BEe3F8CaibyyICbGp1dXDzDJcJtV0I8HQ==,https://lnk.sortly.co/v2/downloads/photo/v2_LqkCAZ5YfGj-KefLRBMym0x55eR6SwVfK4QTfgnMg8IvvMd8G80MbQ==,https://lnk.sortly.co/v2/downloads/photo/v2_KGSpiFcQR0QijoKixylyYtKYG-haHUTwGPkk_QMp2bMUVtYm5emqhg==,https://lnk.sortly.co/v2/downloads/photo/v2_WSOicqu-5nurAuMQazlAqskDTMLQi08pZSw2hLlJGGVtXfwH0FArMw==,https://lnk.sortly.co/v2/downloads/photo/v2_CKjEGoiR82H0_srKSDEPD6ywTUbwDADgH0boEnVBKDV8Q2n7G2dAMw==,https://lnk.sortly.co/v2/downloads/photo/v2_J7wdCvqVUE6eixbwk8aUn3X5y-aJZD5VoM_xk3O3HOVRXh84QhYKpg==,,,,
2012 VW Golf AKL Keyed VVDI2,Item,S0FDOT6514,,,,,,,,1.0,units,,,0.0,"2012 VW Golf - AKL. Keyed Ignition. Made 1 flip key. 
OBD VVDI2 + vag helper. 

Lishi
Make key 
Laptop with WiFi + Vag helper
Ignition ON
Open vag helper software 
Read car info
About 3-4 min
(Message...) Ok 

Save the file with the car details name + zip code 
Move VVDI Immo data file to desktop 

Connect VVDI to OBD and to computer 
VVDI2 
VW
Key learn 
Key learn 
Immo data prepare key 
Load Immo data bin file 
1st option (keep as is)
Next

Checkmark (keep as is)
VW / prepare normal dealer key 
 
Next 

(Repeat same procedure to make additional dealer keys)

Now insert amount of keys 
Press learn 
Choose to get PIN and CS from Immo data 

Put each key on for 2 seconds 
Press ok when done. 
Remove the key, insert and turn on the car. 
Car will only start when pressing brake pedal!

Remote via VVDI
Close all doors 
Hit unlock button on driver door
Key learn 
Remote adaptation 
BCM remote adaptation 
Press unlock on the remote 
Car reaction = remote learned 
Follow prompts 
Done",,Data base,Audi Volkswagen,,,,,,,,,,,,,
2012 VW Golf cluster removal,Item,S0FDOT3819,,,,,,,,1.0,units,,,0.0,2012 VW Golf cluster removal - https://m.youtube.com/watch?v=SHBffbPFkxs,,Data base,Audi Volkswagen,,,,,,,,,,,,,
2012 VW Jetta - AKL Keyed,Item,S0FDOT7873,,,,,,,,1.0,units,,,0.0,"2012 VW Jetta - AKL Keyed
SVG149 + Service mode. 

First back ABS coding via OBD
Diagnostic units 
ABS brakes 
Snap a photo of coding info

Remove cluster

Connect SVG149 to VVDI2
(Using VVDI2 OBD cable)
Ensure SVG149 switch is off
Provide 12V to SVG149
SVG149 blue plug to cluster 
Touch pogo pin (see image) 

VVDI2
Key learn 
4th Immo 
Cluster with NEC+24C64
Read Immo data 
METHOD 2
(Read in a second)
Save Immo data
Flip key/ID48 in VVDI2 
Make dealer key 
Method 2
Prepare OEM key..
YES
Ok
Key made ok and locked 
(We made 1 super chip too) 
Reset Instrument
Reinstall cluster
The car will start. 
Remote separately with IM. 
Done",,Data base,Audi Volkswagen,,,,https://lnk.sortly.co/v2/downloads/photo/v2_QNaRNZ3irt4T3DLDBXB2MMI04pxB03cOA0AmEiqlrVzTXY7xy3loLQ==,https://lnk.sortly.co/v2/downloads/photo/v2_pFyFiptQ1WlrJ6hYdjtI8iJAz6engXN48MJ_hoN_I_c4_NxwqJU-CQ==,,,,,,,,
2012 VW Jetta - AKL Keyed ignition,Item,S0FDOT3215,,,,,,,,1.0,units,,,0.0,"SVG149 + Service mode. 
Vag Helper failed. 

First back ABS coding via OBD
Diagnostic units 
ABS brakes 
Snap a photo of coding info

Remove cluster

Connect SVG149 to VVDI2
(Using VVDI2 OBD cable)
Ensure SVG149 switch is off
Provide 12V to SVG149
SVG149 blue plug to cluster 
Touch pogo pin (see image) 

VVDI2
Key learn 
4th Immo 
Cluster with NEC+24C64
Read Immo data 
METHOD 2
(Read in a second)
Save Immo data

VVDI2 + force tool 
Connect OBD
Force ignition ON 
Key learn 
4th Immo 
NEC+24C64 2013-
Load file 
Load ORIGINAL EEPROM
Write EEPROM (via OBD)
Switch ign on... ok
Message pops on, ok 
(Takes 20 seconds to write)
Please reset.... ok
Read Immo data & save 
Key in VVDI 
Make dealer key 
Key make ok and locked 
Key in VVDI
Add key 

(* see note at the bottom)

Message pops up... yes
Use Immo data file
(3rd option)
Success 
Reset instrument 
Start the car 
Done

*Note: I selected add key directly to immobilizer (1st option) key worked but Prox didn’t, so I went ahead and learned it again using Immo data (3rd option when selecting “add key”). 
Could be 2 reasons:

1. Prox VW keys frequently require more than 1 attempt to learn 
2. It’s simply better to learn using Immo data (3rd option). 

Conclusion - use 3rd option with Immo data. Nothing can go wrong when we have the Immo data file already.",,Data base,Audi Volkswagen,,,,https://lnk.sortly.co/v2/downloads/photo/v2_pilVc1AG074DUx7Maasi69KsU4DbJimGtF1P2jbZy_EEImLY-IzxJA==,https://lnk.sortly.co/v2/downloads/photo/v2_TaGdjHOC5G-pRUJHQSWEb4d0OqoLg_cOFpVUzsnAsUl-TD-bf18M_Q==,,,,,,,,
